ma_id,first_author,year,n_cited_trials,search_date,full_text_source_id
chen-2023-rev-med-virol,Chen,2023,2,2022-11-12,pubmed-37198721-abstract
chen-xiu-2023-rev-med-virol,Chen,2023,2,2022-12-31,pubmed-37198721-abstract
chou-2023-jama,Chou,2023,2,2022-05-16,pubmed-37606667-abstract
chou-2023-jama-evidence-report,Chou,2023,2,2022-05-16,pubmed-37606667-abstract
ebrahim-2026-cochrane-db-syst-rev,Ebrahim,2026,2,2025-05-01,pmc-PMC13041208-fulltext
erlwanger-2024-eclinicalmedicine,Erlwanger,2024,2,2023-08-29,pmc-PMC11056414-fulltext
fonner-2023-aids,Fonner,2023,2,2021-09-30,pmc-PMC10090368-fulltext
garratt-2025-aids,Garratt,2025,7,2024-12-31,pubmed-40327671-abstract
jasper-2025-bmc-infect-dis,Jasper,2025,1,2023-12-31,pmc-PMC12613714-fulltext
leong-2024-j-acquir-immune-defic-syndr,Leong,2024,3,2023-09-08,pmc-PMC11458098-fulltext
lorenzetti-2023-j-int-aids-soc,Lorenzetti,2023,2,2021-09-30,pmc-PMC10805120-fulltext
makoni-2024-aids-behav,Makoni,2024,5,2023-12-31,pubmed-39422786-abstract
mukuhlani-2026-int-j-infect-dis,Mukuhlani,2026,2,2026-01-15,pubmed-41871735-abstract
musekiwa-2020-trop-med-int-health,Musekiwa,2020,2,2019-06-30,pubmed-32306503-abstract
obiero-2021-cochrane-db-syst-rev,Obiero,2021,2,2020-08-31,pubmed-33719075-abstract
ridgeway-2021-contraception,Ridgeway,2021,2,2021-06-15,pmc-PMC9128798-fulltext
sharma-2024-clin-infect-dis,Sharma,2024,2,2023-06-01,pmc-PMC10874262-fulltext
sharma-bhavesh-2026-cureus,Sharma,2026,2,2025-01-31,pmc-PMC13109853-fulltext
tieosapjaroen-2026-plosmed,Tieosapjaroen,2026,4,2025-04-08,pmc-PMC13102303-fulltext
wang-2023-jmir-public-health-surveill,Wang,2023,2,2022-11-12,pmc-PMC10415942-fulltext
